,id,Unnamed: 1,action_id,action_name,player_id,player_name,team_id,team_name,position_id,position_name,opponent_id,opponent_name,opponent_team_id,opponent_team_name,opponent_position_id,opponent_position_name,half,second,zone_id,zone_name,zone_dest_id,zone_dest_name,pos_x,pos_y,pos_dest_x,pos_dest_y,gate_x,gate_y,len,direction,standart_id,standart_name,possession_id,possession_name,possession_team_id,possession_team_name,possession_time,possession_number,attack_status_id,attack_status_name,attack_type_id,attack_type_name,attack_flang_id,attack_flang_name,attack_team_id,attack_team_name,attack_number,body_id,body_name,assistant_id,assistant_name,shot_type,touches,shot_handling,sub_reason,var_decision,ts,dl,match_id,jornada
1330,60138,,1011,Attacking pass accurate,300324.0,Joel David Graterol Nader,1491.0,America de Cali,31.0,Goalkeeper,391654.0,Juan Portilla,1491.0,America de Cali,24.0,Midfielder - Left central,2,338.85,4.0,1B,3.0,1L,9.8,36.1,26.1,50.4,,,21.7,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1331,60139,,22000,Ball receiving,391654.0,Juan Portilla,1491.0,America de Cali,24.0,Midfielder - Left central,,,,,,,2,340.56,3.0,1L,,,26.1,50.4,,,,,,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1332,60140,,1011,Attacking pass accurate,391654.0,Juan Portilla,1491.0,America de Cali,24.0,Midfielder - Left central,14573.0,Adrian Gustavo Ramos,1491.0,America de Cali,36.0,Forward - Central,2,343.34,7.0,2L,7.0,2L,32.8,53.2,48.4,45.7,,,17.3,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1333,60141,,22000,Ball receiving,14573.0,Adrian Gustavo Ramos,1491.0,America de Cali,36.0,Forward - Central,,,,,,,2,344.67,7.0,2L,,,48.4,45.7,,,,,,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1334,60142,,1011,Attacking pass accurate,14573.0,Adrian Gustavo Ramos,1491.0,America de Cali,36.0,Forward - Central,391654.0,Juan Portilla,1491.0,America de Cali,24.0,Midfielder - Left central,2,345.2,7.0,2L,7.0,2L,46.9,45.5,40.7,45.4,,,6.2,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1335,60143,,22000,Ball receiving,391654.0,Juan Portilla,1491.0,America de Cali,24.0,Midfielder - Left central,,,,,,,2,345.95,7.0,2L,,,40.7,45.4,,,,,,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1336,60144,,1011,Attacking pass accurate,391654.0,Juan Portilla,1491.0,America de Cali,24.0,Midfielder - Left central,183758.0,Didier Jair Pino Cordoba,1491.0,America de Cali,44.0,Midfielder - Right central,2,346.48,6.0,2C,6.0,2C,41.8,44.1,36.9,30.1,,,14.8,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1337,60145,,1011,Attacking pass accurate,183758.0,Didier Jair Pino Cordoba,1491.0,America de Cali,44.0,Midfielder - Right central,254290.0,Marlon Aldair Torres Obeso,1491.0,America de Cali,42.0,Defender - Right central,2,349.22,6.0,2C,5.0,2R,36.9,30.1,35.7,17.1,,,13.1,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1338,60146,,22000,Ball receiving,254290.0,Marlon Aldair Torres Obeso,1491.0,America de Cali,42.0,Defender - Right central,,,,,,,2,350.27,5.0,2R,,,35.7,17.1,,,,,,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1339,60147,,1011,Attacking pass accurate,254290.0,Marlon Aldair Torres Obeso,1491.0,America de Cali,42.0,Defender - Right central,492811.0,Esneyder Mena Perea,1491.0,America de Cali,55.0,Attacking midfielder - Right,2,352.33,5.0,2R,8.0,3R,48.3,13.7,64.5,3.7,,,19.0,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
