;Posicion;Grupo;Peso% Grupo (PG);Variable;Peso% Variable (PV)
327;Interior;Recuperaciones;0.1;Intercepciones por 90 min;0.25
328;Interior;Recuperaciones;0.1;Entradas ganadas por 90 min;0.03333333333333333
329;Interior;Tiros;0.07;xG (Goles esperados);1.0
330;Interior;Pases;0.24;Pases acertados, %;0.3
331;Interior;Pases;0.24;Centros acertados, %;0.3
332;Interior;Pases;0.24;Acciones exitosas por 90 min;0.025
333;Interior;Pases;0.24;"Balones perdidos en
campo propio por 90 min";0.025
334;Interior;Pases;0.24;Pases acertados por 90 min;0.025
335;Interior;Pases;0.24;Centros acertados por 90 min;0.025
336;Interior;Pases;0.24;Acciones exitosas, %;0.3
337;Interior;Pases clave;0.18;Pases clave acertados por 90 min;0.3
338;Interior;Pases clave;0.18;Asistencias esperadas;0.7
339;Interior;Regates;0.15;Regates exitosos, %;0.8
340;Interior;Regates;0.15;Regates exitosos por 90 min;0.2
341;Interior;Otros;0.00999999999999979;Goles por 90 min;0.025
342;Interior;Otros;0.00999999999999979;xG con marca;0.025
343;Interior;Otros;0.00999999999999979;xG por remate;0.025
344;Interior;Otros;0.00999999999999979;Asistencias por 90 min;0.025
345;Interior;Otros;0.00999999999999979;Oportunidades creadas por 90 min;0.025
346;Interior;Otros;0.00999999999999979;Oportunidades exitosas por 90 min;0.025
347;Interior;Otros;0.00999999999999979;Oportunidades, % de conversión;0.025
348;Interior;Otros;0.00999999999999979;Duelos por 90 min;0.025
349;Interior;Otros;0.00999999999999979;Conversión de xG;0.025
350;Interior;Otros;0.00999999999999979;Tarjetas amarillas por 90 min;0.025
351;Interior;Otros;0.00999999999999979;"xG neto (xG con marca -
xG del equipo contrincante)";0.025
352;Interior;Otros;0.00999999999999979;Faltas por 90 min;0.025
353;Interior;Otros;0.00999999999999979;Fueras de juego por 90 min;0.025
354;Interior;Otros;0.00999999999999979;Balones perdidos por 90 min;0.025
355;Interior;Otros;0.00999999999999979;Total de acciones por 90 minutos;0.025
356;Interior;Otros;0.00999999999999979;Pases por 90 min;0.025
357;Interior;Otros;0.00999999999999979;Tarjetas rojas por 90 min;0.025
358;Interior;Otros;0.00999999999999979;Penaltis anotados por 90 min;0.025
359;Interior;Otros;0.00999999999999979;"xG defensivo (xG de los remates
hechos por el jugador marcado)";0.025
360;Interior;Otros;0.00999999999999979;Duelos ganados, %;0.025
361;Interior;Otros;0.00999999999999979;Penaltis anotados, %;0.025
362;Interior;Otros;0.00999999999999979;Penaltis cobrados por 90 min;0.025
363;Interior;Otros;0.00999999999999979;Oportunidades por 90 min;0.025
